collection_id,name,number_movies_before_2020,avg_popularity_before_2020,insertion_datetime
1012974,Pornographer Collection,0,,2024-04-07 14:12:17.081514
1042852,Rogue Cell Collection,1,2.08,2024-04-07 14:12:17.081514
576923,"Take a Hike, Vasya!",1,5.246,2024-04-07 14:12:17.081514
647077,Coming to America Collection,1,55.155,2024-04-07 14:12:17.081514
1025055,Sweet Mahogany Collection,0,,2024-04-07 14:12:17.081514
1068175,Coming of Age Collection,6,0.7826666666666666,2024-04-07 14:12:17.081514
1083017,From Beyond Collection,1,17.869,2024-04-07 14:12:17.081514
729646,Väter allein zu Haus Collection,2,1.4765,2024-04-07 14:12:17.081514
792448,Crazy Wedding Collection,2,1.9045,2024-04-07 14:12:17.081514
1192438,Addio al nubilato - Collezione,0,,2024-04-07 14:12:17.081514
584691,Chronicle Mysteries,4,4.41075,2024-04-07 14:12:17.081514
803526,Super Sentai Collection,117,3.536119658119657,2024-04-07 14:12:17.081514
787649,The Drishyam Collection,1,13.035,2024-04-07 14:12:17.081514
974847,Money. Murder. Zurich. Collection,6,1.133,2024-04-07 14:12:17.081514
764994,The Way We Dance Collection,1,2.818,2024-04-07 14:12:17.081514
1237593,暴走财神（系列）,1,0.849,2024-04-07 14:12:17.081514
881669,You vs. Wild Collection,0,,2024-04-07 14:12:17.081514
519564,Las Leyendas Collection,5,19.1058,2024-04-07 14:12:17.081514
256322,The Purge Collection,4,52.63975,2024-04-07 14:12:17.081514
437451,Cinderella Story Collection,5,27.7348,2024-04-07 14:12:17.081514
1048869,再雇用警察官,0,,2024-04-07 14:12:17.081514
1108593,Ripper Untold Collection,0,,2024-04-07 14:12:17.081514
790370,Fear Street Collection,0,,2024-04-07 14:12:17.081514
896356,Kamen Rider Saber × Ghost Collection,0,,2024-04-07 14:12:17.081514
997726,Rompis Collection,1,1.555,2024-04-07 14:12:17.081514
602538,Non ci resta che il crimine - Collezione,1,10.353,2024-04-07 14:12:17.081514
1204557,绝美的世界各地4K美景之旅,0,,2024-04-07 14:12:17.081514
852743,BanG Dream! Episode of Roselia Collection,0,,2024-04-07 14:12:17.081514
861123,Ostap Bender Trilogy,0,,2024-04-07 14:12:17.081514
1119879,Ice Road Collection,0,,2024-04-07 14:12:17.081514
1155843,Opération Portugal - Saga,0,,2024-04-07 14:12:17.081514
1158686,Heard She Got Married Collection,0,,2024-04-07 14:12:17.081514
785583,Batman: The Long Halloween Collection,0,,2024-04-07 14:12:17.081514
689974,Teen Titans Go! Collection,2,30.1575,2024-04-07 14:12:17.081514
857332,Speech & Debate Collection,0,,2024-04-07 14:12:17.081514
1265610,Zwaar verliefd! Collectie,1,1.977,2024-04-07 14:12:17.081514
131780,Whispering Corridors Collection,5,9.819399999999998,2024-04-07 14:12:17.081514
787188,Jacqueline Mazerin Collection,1,8.854,2024-04-07 14:12:17.081514
894802,Veszélyroham,0,,2024-04-07 14:12:17.081514
988589,Dragon Fury Collection,0,,2024-04-07 14:12:17.081514
1093903,Streetwise Collection,4,2.777,2024-04-07 14:12:17.081514
336557,The Ouija Experiment Collection,3,9.021333333333333,2024-04-07 14:12:17.081514
608101,The Hitman's Bodyguard Collection,1,41.394,2024-04-07 14:12:17.081514
1068190,Contigo - Colección,0,,2024-04-07 14:12:17.081514
1080965,Joe Bonamassa Live Collection,7,1.0214285714285716,2024-04-07 14:12:17.081514
988584,Dinosaur Hotel Collection,0,,2024-04-07 14:12:17.081514
843973,Sune (samling),2,3.007,2024-04-07 14:12:17.081514
1166631,Mobile Suit Gundam Hathaway Collection,0,,2024-04-07 14:12:17.081514
826725,Meet the Blacks Collection,1,12.058,2024-04-07 14:12:17.081514
1018280,Three Families Under the Same Roof Collection,0,,2024-04-07 14:12:17.081514
941790,My MMXXs,0,,2024-04-07 14:12:17.081514
1237159,ORF LandKrimi Reihe,16,2.440125,2024-04-07 14:12:17.081514
1035073,Exhibition on Screen Collection,21,1.107047619047619,2024-04-07 14:12:17.081514
1066349,The Nico & Emilio Saga,0,,2024-04-07 14:12:17.081514
1096614,Little Foot Collection,0,,2024-04-07 14:12:17.081514
964836,Upon Her Lips,0,,2024-04-07 14:12:17.081514
1170524,Concerts Enfoiros,2,0.6,2024-04-07 14:12:17.081514
834501,Kandasamys Collection,2,2.9575,2024-04-07 14:12:17.081514
976903,Knights of Sidonia Collection,1,7.865,2024-04-07 14:12:17.081514
247028,Rurouni Kenshin (Live-Action) Collection,3,29.94333333333333,2024-04-07 14:12:17.081514
819105,Shoujo Kageki Revue Starlight Collection,0,,2024-04-07 14:12:17.081514
1150153,2551 Collection,0,,2024-04-07 14:12:17.081514
893268,Carters Collection,1,1.001,2024-04-07 14:12:17.081514
934681,Koleksi Telefilem Tanah Kubur,1,2.13,2024-04-07 14:12:17.081514
836208,Anatomy of an Antihero Collection,0,,2024-04-07 14:12:17.081514
1043889,A Wicked Trilogy Collection,0,,2024-04-07 14:12:17.081514
1161130,Der Masuren-Krimi Collection,0,,2024-04-07 14:12:17.081514
1167935,Shadow Game Collection,0,,2024-04-07 14:12:17.081514
319850,Department Q Collection,4,22.14075,2024-04-07 14:12:17.081514
928121,The Crimes of Shalqar,0,,2024-04-07 14:12:17.081514
837007,Cruella Collection,0,,2024-04-07 14:12:17.081514
313086,The Conjuring Collection,2,94.1525,2024-04-07 14:12:17.081514
832266,The Queen of Kung Fu Collection,0,,2024-04-07 14:12:17.081514
632051,Morning Show Mysteries Collection,5,3.515,2024-04-07 14:12:17.081514
654479,Das Kindermädchen Filmreihe,2,1.1865,2024-04-07 14:12:17.081514
